heff,s
136.33785505086522,0.0
132.27507826871033,0.001
128.37077813080793,0.002
124.62222219740997,0.003
121.02276385413586,0.004
117.56202118874205,0.005
114.23490217299181,0.006
111.03280370512313,0.007
107.95117896537715,0.008
104.98630245364214,0.009
102.12989348381561,0.01
99.37833001974116,0.011
96.72476781498057,0.012
94.16719103302115,0.013
91.69998602922563,0.014
89.31780899022228,0.015
87.01957996414288,0.016
84.79957055859664,0.017
82.65657362774104,0.018
80.58541239108138,0.019
78.58437214602961,0.02
76.64875476552608,0.021
74.77740660356184,0.022
72.96641091219097,0.023
71.21473388261091,0.024
69.5185463768206,0.025
67.87658135964014,0.026
66.28636626351279,0.027
64.74523658945188,0.028
63.25242080791909,0.029
61.8049403699474,0.03
60.401994619440664,0.031
59.04085052879777,0.032
57.72085694583027,0.033
56.44071031877085,0.034
55.19767367384664,0.035
53.99081315716429,0.036
52.81826275233481,0.037
51.67946221840576,0.038
50.574003702485236,0.039
49.49956315586626,0.04
48.455351816510685,0.041
47.440258961404844,0.042
46.45362355883598,0.043
45.49377409121036,0.044
44.55954921924941,0.045
43.65106416956846,0.046
42.767129733721085,0.047
41.906432621165614,0.048
41.06903333075094,0.049
40.2540317680604,0.05
39.459825712168865,0.051
38.68631820098704,0.052
37.93301473024502,0.053
37.1985441922658,0.054
36.48326063570963,0.055
35.78554659227418,0.056
35.10463056861247,0.057
34.44132186136846,0.058
33.793978136421636,0.059
33.163043196534396,0.06
32.547790749194554,0.061
31.946885067932357,0.062
31.361009071638293,0.063
30.78873423731782,0.064
30.23036982192353,0.065
29.68505006352478,0.066
29.152589758341588,0.067
28.63304805288914,0.068
28.1250168781157,0.069
27.629228063426,0.07
27.144345615929968,0.071
26.671128521773838,0.072
26.207836691011547,0.073
25.7556285429616,0.074
25.313177529007568,0.075
24.880877086353568,0.076
24.457612998138714,0.077
24.04425190447195,0.078
23.6397563153279,0.079
23.24431241849008,0.08
22.85687258067324,0.081
22.478294274367098,0.082
22.107515080466925,0.083
21.744946731889062,0.084
21.389398819485063,0.085
21.041955789056306,0.086
20.701323998338832,0.087
20.368478818475452,0.088
20.04192428011922,0.089
19.722400496175542,0.09
19.409469397636432,0.091
19.103247547561367,0.092
18.803164714183094,0.093
18.50864994399556,0.094
18.22034870364266,0.095
17.937361848398147,0.096
17.660331533764733,0.097
17.388304057873153,0.098
17.12164879862355,0.099
16.86054547445056,0.1
16.604501053732676,0.101
16.353721578933754,0.102
16.107349651170843,0.103
15.86583078525347,0.104
15.629029134598406,0.105
